Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
13-Nov-24,Wednesday,November,Q4,2024,EQ,1861.10,1873.20,1856.30,1868.80,1869.00,1868.40,1866.77,1991.45,1358.35,4257495.00,187205.00
12-Nov-24,Tuesday,November,Q4,2024,EQ,1871.10,1881.00,1861.00,1860.10,1861.00,1868.80,1871.65,1991.45,1358.35,5012450.00,182346.00
11-Nov-24,Monday,November,Q4,2024,EQ,1829.00,1868.00,1822.55,1829.95,1859.05,1860.10,1855.73,1991.45,1358.35,3804234.00,240025.00
08-Nov-24,Friday,November,Q4,2024,EQ,1818.00,1840.60,1813.15,1803.05,1825.95,1829.95,1832.23,1991.45,1358.35,4210960.00,199379.00
07-Nov-24,Thursday,November,Q4,2024,EQ,1812.95,1825.70,1787.00,1823.70,1802.85,1803.05,1802.49,1991.45,1358.35,4550965.00,274916.00
06-Nov-24,Wednesday,November,Q4,2024,EQ,1764.00,1827.20,1762.65,1754.20,1821.00,1823.70,1809.14,1991.45,1358.35,10421494.00,305870.00
05-Nov-24,Tuesday,November,Q4,2024,EQ,1760.00,1768.45,1745.00,1763.65,1753.00,1754.20,1754.19,1991.45,1358.35,3160880.00,168160.00
04-Nov-24,Monday,November,Q4,2024,EQ,1724.50,1767.00,1718.00,1760.85,1763.05,1763.65,1742.20,1991.45,1358.35,7336722.00,237541.00
01-Nov-24,Friday,November,Q4,2024,EQ,1764.50,1766.00,1752.05,1757.25,1755.60,1760.85,1761.68,1991.45,1351.65,371966.00,29613.00
31-Oct-24,Thursday,October,Q4,2024,EQ,1787.90,1787.90,1746.50,1802.10,1762.95,1757.25,1759.11,1991.45,1351.65,7395236.00,283103.00
30-Oct-24,Wednesday,October,Q4,2024,EQ,1832.00,1839.00,1796.35,1839.30,1798.80,1802.10,1813.08,1991.45,1351.65,5919715.00,221376.00
29-Oct-24,Tuesday,October,Q4,2024,EQ,1846.00,1851.60,1829.00,1865.35,1839.95,1839.30,1840.82,1991.45,1351.65,4621252.00,157581.00
28-Oct-24,Monday,October,Q4,2024,EQ,1859.70,1881.90,1857.00,1862.05,1865.00,1865.35,1872.16,1991.45,1351.65,7018940.00,157551.00
25-Oct-24,Friday,October,Q4,2024,EQ,1863.45,1876.35,1846.40,1863.35,1866.00,1862.05,1861.41,1991.45,1351.65,4689120.00,181283.00
24-Oct-24,Thursday,October,Q4,2024,EQ,1861.40,1884.00,1860.00,1873.40,1863.60,1863.35,1866.54,1991.45,1351.65,2906475.00,137718.00
23-Oct-24,Wednesday,October,Q4,2024,EQ,1845.25,1886.00,1844.00,1851.60,1868.30,1873.40,1872.18,1991.45,1351.65,4311910.00,177546.00
22-Oct-24,Tuesday,October,Q4,2024,EQ,1858.20,1877.80,1846.95,1852.75,1853.55,1851.60,1858.27,1991.45,1351.65,4125240.00,189972.00
